domain,model,agent_count,rows,unique,expected,correct,accuracy,status,file
medical,gpt_4o,1,5000,5000,5000,1425.0,28.499999999999996,OK,medical_gpt_4o_1agent.json
medical,gpt_4o,2,5000,5000,5000,1291.0,25.82,OK,medical_gpt_4o_2agent.json
medical,gpt_4o,3,5000,5000,5000,1326.0,26.52,OK,medical_gpt_4o_3agent.json
medical,gpt_4o,4,5000,5000,5000,1291.0,25.82,OK,medical_gpt_4o_4agent.json
medical,claude_sonnet_4_6,1,150,150,5000,25.0,16.666666666666664,SHORT_150,medical_claude_sonnet_4_6_1agent.json
medical,claude_sonnet_4_6,2,5000,5000,5000,951.0,19.02,OK,medical_claude_sonnet_4_6_2agent.json
medical,claude_sonnet_4_6,3,5000,5000,5000,1146.0,22.919999999999998,OK,medical_claude_sonnet_4_6_3agent.json
medical,claude_sonnet_4_6,4,5000,5000,5000,1251.0,25.019999999999996,OK,medical_claude_sonnet_4_6_4agent.json
medical,gemini_2_5_pro,1,200,200,5000,23.0,11.5,SHORT_200,medical_gemini_2_5_pro_1agent.json
medical,gemini_2_5_pro,2,0,0,5000,,,MISSING,
medical,gemini_2_5_pro,3,0,0,5000,,,MISSING,
medical,gemini_2_5_pro,4,0,0,5000,,,MISSING,
legal,gpt_4o,1,3000,3000,3000,1691.0,56.36666666666667,OK,legal_gpt_4o_1agent_parallel.json
legal,gpt_4o,2,3000,3000,3000,1320.0,44.0,OK,legal_gpt_4o_2agent_parallel.json
legal,gpt_4o,3,3000,3000,3000,1027.0,34.233333333333334,OK,legal_gpt_4o_3agent_parallel.json
legal,gpt_4o,4,3000,3000,3000,714.0,23.799999999999997,OK,legal_gpt_4o_4agent_parallel.json
legal,claude_sonnet_4_6,1,3000,3000,3000,2635.0,87.83333333333333,OK,legal_claude_sonnet_4_6_1agent.json
legal,claude_sonnet_4_6,2,3000,3000,3000,2331.0,77.7,OK,legal_claude_sonnet_4_6_2agent.json
legal,claude_sonnet_4_6,3,3000,3000,3000,2173.0,72.43333333333334,OK,legal_claude_sonnet_4_6_3agent.json
legal,claude_sonnet_4_6,4,3000,3000,3000,2161.0,72.03333333333333,OK,legal_claude_sonnet_4_6_4agent.json
legal,gemini_2_5_pro,1,0,0,3000,,,MISSING,
legal,gemini_2_5_pro,2,950,950,3000,866.0,91.15789473684211,SHORT_950,legal_gemini_2_5_pro_2agent_parallel.json
legal,gemini_2_5_pro,3,0,0,3000,,,MISSING,
legal,gemini_2_5_pro,4,0,0,3000,,,MISSING,
code,gpt_4o,1,1000,1000,1000,94.0,9.4,OK,code_gpt_4o_1agent.json
code,gpt_4o,2,1000,970,1000,43.0,4.43298969072165,SHORT_970,code_gpt_4o_2agent.json
code,gpt_4o,3,1000,1000,1000,111.0,11.1,OK,code_gpt_4o_3agent.json
code,gpt_4o,4,1000,1000,1000,284.0,28.4,OK,code_gpt_4o_4agent.json
code,claude_sonnet_4_6,1,1000,1000,1000,13.0,1.3,OK,code_claude_sonnet_4_6_1agent.json
code,claude_sonnet_4_6,2,1000,1000,1000,8.0,0.8,OK,code_claude_sonnet_4_6_2agent.json
code,claude_sonnet_4_6,3,1000,1000,1000,7.0,0.7000000000000001,OK,code_claude_sonnet_4_6_3agent.json
code,claude_sonnet_4_6,4,1000,1000,1000,10.0,1.0,OK,code_claude_sonnet_4_6_4agent.json
code,gemini_2_5_pro,1,0,0,1000,,,MISSING,
code,gemini_2_5_pro,2,0,0,1000,,,MISSING,
code,gemini_2_5_pro,3,750,750,1000,9.0,1.2,SHORT_750,code_gemini_2_5_pro_3agent_parallel.json
code,gemini_2_5_pro,4,0,0,1000,,,MISSING,
logic,gpt_4o,1,1500,1470,1500,314.0,21.360544217687075,SHORT_1470,logic_gpt_4o_1agent.json
logic,gpt_4o,2,1500,1470,1500,567.0,38.57142857142858,SHORT_1470,logic_gpt_4o_2agent.json
logic,gpt_4o,3,1500,1500,1500,372.0,24.8,OK,logic_gpt_4o_3agent.json
logic,gpt_4o,4,450,450,1500,176.0,39.111111111111114,SHORT_450,logic_gpt_4o_4agent.json
logic,claude_sonnet_4_6,1,1500,1500,1500,270.0,18.0,OK,logic_claude_sonnet_4_6_1agent.json
logic,claude_sonnet_4_6,2,1500,1500,1500,334.0,22.26666666666667,OK,logic_claude_sonnet_4_6_2agent.json
logic,claude_sonnet_4_6,3,1500,1500,1500,305.0,20.333333333333332,OK,logic_claude_sonnet_4_6_3agent.json
logic,claude_sonnet_4_6,4,1500,1500,1500,295.0,19.666666666666664,OK,logic_claude_sonnet_4_6_4agent.json
logic,gemini_2_5_pro,1,0,0,1500,,,MISSING,
logic,gemini_2_5_pro,2,0,0,1500,,,MISSING,
logic,gemini_2_5_pro,3,0,0,1500,,,MISSING,
logic,gemini_2_5_pro,4,800,800,1500,206.0,25.75,SHORT_800,logic_gemini_2_5_pro_4agent_parallel.json
long_context,gpt_4o,1,902,902,902,7.0,0.7760532150776054,OK,long_context_gpt_4o_1agent_parallel.json
long_context,gpt_4o,2,902,902,902,26.0,2.882483370288248,OK,long_context_gpt_4o_2agent_parallel.json
long_context,gpt_4o,3,902,902,902,2.0,0.22172949002217296,OK,long_context_gpt_4o_3agent_parallel.json
long_context,gpt_4o,4,902,902,902,9.0,0.9977827050997782,OK,long_context_gpt_4o_4agent_parallel.json
long_context,claude_sonnet_4_6,1,902,902,902,30.0,3.325942350332594,OK,long_context_claude_sonnet_4_6_1agent.json
long_context,claude_sonnet_4_6,2,902,902,902,178.0,19.733924611973393,OK,long_context_claude_sonnet_4_6_2agent.json
long_context,claude_sonnet_4_6,3,902,902,902,67.0,7.427937915742794,OK,long_context_claude_sonnet_4_6_3agent.json
long_context,claude_sonnet_4_6,4,902,902,902,14.0,1.5521064301552108,OK,long_context_claude_sonnet_4_6_4agent.json
long_context,gemini_2_5_pro,1,0,0,902,,,MISSING,
long_context,gemini_2_5_pro,2,0,0,902,,,MISSING,
long_context,gemini_2_5_pro,3,0,0,902,,,MISSING,
long_context,gemini_2_5_pro,4,0,0,902,,,MISSING,
