domain,item_id,axis,gpt,gemini
medical,medqa_1465,D,0.2,0.2
medical,medqa_1465,V,0.7,0.7
medical,medqa_1465,K,0.9,0.9
medical,medqa_1465,S,0.1,0.1
medical,medqa_4712,D,0.2,0.2
medical,medqa_4712,V,0.7,0.7
medical,medqa_4712,K,0.6,0.9
medical,medqa_4712,S,0.2,0.0
medical,medqa_1710,D,0.2,0.1
medical,medqa_1710,V,0.7,0.7
medical,medqa_1710,K,0.8,0.9
medical,medqa_1710,S,0.2,0.2
medical,medqa_1045,D,0.2,0.0
medical,medqa_1045,V,0.7,0.7
medical,medqa_1045,K,0.8,0.9
medical,medqa_1045,S,0.1,0.1
medical,medqa_4938,D,0.2,0.1
medical,medqa_4938,V,0.7,0.7
medical,medqa_4938,K,0.8,1.0
medical,medqa_4938,S,0.1,0.1
medical,medqa_4268,D,0.2,0.3
medical,medqa_4268,V,0.7,0.7
medical,medqa_4268,K,0.9,0.8
medical,medqa_4268,S,0.1,0.1
medical,medqa_2007,D,0.2,0.0
medical,medqa_2007,V,0.7,0.7
medical,medqa_2007,K,0.8,0.8
medical,medqa_2007,S,0.1,0.0
medical,medqa_4748,D,0.2,0.0
medical,medqa_4748,V,0.7,0.7
medical,medqa_4748,K,0.6,0.8
medical,medqa_4748,S,0.1,0.3
medical,medqa_149,D,0.2,0.1
medical,medqa_149,V,0.7,0.8
medical,medqa_149,K,0.8,0.9
medical,medqa_149,S,0.1,0.1
medical,medqa_3739,D,0.2,0.1
medical,medqa_3739,V,0.7,0.7
medical,medqa_3739,K,0.8,0.9
medical,medqa_3739,S,0.1,0.1
medical,medqa_3339,D,0.2,0.1
medical,medqa_3339,V,0.7,0.7
medical,medqa_3339,K,0.9,0.9
medical,medqa_3339,S,0.1,0.1
medical,medqa_4477,D,0.2,0.0
medical,medqa_4477,V,0.7,0.7
medical,medqa_4477,K,0.8,0.9
medical,medqa_4477,S,0.1,0.0
medical,medqa_2248,D,0.2,0.1
medical,medqa_2248,V,0.7,0.7
medical,medqa_2248,K,0.8,0.8
medical,medqa_2248,S,0.1,0.3
medical,medqa_848,D,0.2,0.1
medical,medqa_848,V,0.7,0.7
medical,medqa_848,K,0.8,0.8
medical,medqa_848,S,0.1,0.5
medical,medqa_124,D,0.2,0.1
medical,medqa_124,V,0.7,0.7
medical,medqa_124,K,0.9,0.9
medical,medqa_124,S,0.1,0.0
medical,medqa_3355,D,0.2,0.1
medical,medqa_3355,V,0.7,0.7
medical,medqa_3355,K,0.8,0.8
medical,medqa_3355,S,0.1,0.0
medical,medqa_3288,D,0.2,0.2
medical,medqa_3288,V,0.7,0.7
medical,medqa_3288,K,0.8,1.0
medical,medqa_3288,S,0.1,0.0
medical,medqa_2042,D,0.2,0.1
medical,medqa_2042,V,0.7,0.7
medical,medqa_2042,K,0.8,0.9
medical,medqa_2042,S,0.1,0.1
medical,medqa_4788,D,0.2,0.1
medical,medqa_4788,V,0.7,0.8
medical,medqa_4788,K,0.9,0.8
medical,medqa_4788,S,0.1,0.3
medical,medqa_1608,D,0.2,0.1
medical,medqa_1608,V,0.7,0.7
medical,medqa_1608,K,0.9,0.9
medical,medqa_1608,S,0.1,0.1
medical,medqa_750,D,0.2,0.1
medical,medqa_750,V,0.7,0.7
medical,medqa_750,K,0.9,0.9
medical,medqa_750,S,0.1,0.1
medical,medqa_4802,D,0.2,0.2
medical,medqa_4802,V,0.7,0.7
medical,medqa_4802,K,0.8,0.8
medical,medqa_4802,S,0.1,0.1
medical,medqa_1047,D,0.2,0.0
medical,medqa_1047,V,0.7,0.7
medical,medqa_1047,K,0.8,0.9
medical,medqa_1047,S,0.2,0.2
medical,medqa_1543,D,0.2,0.1
