domain,model,agents,n_results,empty_gt,empty_gt_pct,empty_pred,empty_pred_correct (BUG),refusal_correct (BUG),pred_truncated_200,pred_truncated_pct,reported_correct,reported_accuracy,corrected_accuracy_minus_empty,inflation_pp,file
code,claude_sonnet_4_6,1,1000,1000,100.0,0,0,0,904,90.4,13,1.3,1.3,0.0,code_claude_sonnet_4_6_1agent.json
code,claude_sonnet_4_6,2,1000,1000,100.0,2,0,0,998,99.8,8,0.8,0.8,0.0,code_claude_sonnet_4_6_2agent.json
code,claude_sonnet_4_6,3,1000,1000,100.0,1,0,0,999,99.9,7,0.7000000000000001,0.7000000000000001,0.0,code_claude_sonnet_4_6_3agent.json
code,claude_sonnet_4_6,4,1000,1000,100.0,1,0,0,999,99.9,10,1.0,1.0,0.0,code_claude_sonnet_4_6_4agent.json
code,gemini_2_5_pro,3,750,750,100.0,0,0,0,737,98.26666666666667,9,1.2,1.2,0.0,code_gemini_2_5_pro_3agent_parallel.json
code,gpt_4o,1,1000,0,0.0,90,90,0,202,20.200000000000003,94,9.4,0.4,9.0,code_gpt_4o_1agent.json
code,gpt_4o,1,10,0,0.0,0,0,0,4,40.0,1,10.0,10.0,0.0,code_gpt_4o_1agent_parallel.json
code,gpt_4o,2,1000,30,3.0,62,32,0,187,18.7,43,4.3,1.0999999999999999,3.2,code_gpt_4o_2agent.json
code,gpt_4o,3,1000,0,0.0,105,105,0,367,36.7,111,11.1,0.6,10.5,code_gpt_4o_3agent.json
code,gpt_4o,4,1000,0,0.0,280,280,0,414,41.4,284,28.4,0.4,28.0,code_gpt_4o_4agent.json
legal,claude_sonnet_4_6,1,3000,3000,100.0,2,0,0,2727,90.9,2635,87.83333333333333,87.83333333333333,0.0,legal_claude_sonnet_4_6_1agent.json
legal,claude_sonnet_4_6,2,3000,3000,100.0,14,0,0,1134,37.8,2331,77.7,77.7,0.0,legal_claude_sonnet_4_6_2agent.json
legal,claude_sonnet_4_6,3,3000,3000,100.0,14,0,0,477,15.9,2173,72.43333333333334,72.43333333333334,0.0,legal_claude_sonnet_4_6_3agent.json
legal,claude_sonnet_4_6,4,3000,3000,100.0,22,0,0,433,14.433333333333334,2161,72.03333333333333,72.03333333333333,0.0,legal_claude_sonnet_4_6_4agent.json
legal,gemini_2_5_pro,2,950,950,100.0,0,0,0,541,56.94736842105264,866,91.15789473684211,91.15789473684211,0.0,legal_gemini_2_5_pro_2agent_parallel.json
legal,gpt_4o,1,3000,4,0.13333333333333333,73,69,7,0,0.0,1691,56.36666666666667,54.06666666666666,2.3000000000000043,legal_gpt_4o_1agent_parallel.json
legal,gpt_4o,2,3000,3,0.1,3,0,1,0,0.0,1320,44.0,44.0,0.0,legal_gpt_4o_2agent_parallel.json
legal,gpt_4o,3,3000,12,0.4,13,1,0,0,0.0,1027,34.233333333333334,34.2,0.03333333333333144,legal_gpt_4o_3agent_parallel.json
legal,gpt_4o,4,3000,13,0.4333333333333333,13,0,0,0,0.0,714,23.799999999999997,23.799999999999997,0.0,legal_gpt_4o_4agent_parallel.json
logic,claude_sonnet_4_6,1,1500,1500,100.0,0,0,0,803,53.53333333333333,270,18.0,18.0,0.0,logic_claude_sonnet_4_6_1agent.json
logic,claude_sonnet_4_6,2,1500,1500,100.0,6,0,0,463,30.866666666666664,334,22.26666666666667,22.26666666666667,0.0,logic_claude_sonnet_4_6_2agent.json
logic,claude_sonnet_4_6,3,1500,1500,100.0,4,0,0,188,12.533333333333333,305,20.333333333333332,20.333333333333332,0.0,logic_claude_sonnet_4_6_3agent.json
logic,claude_sonnet_4_6,4,1500,1500,100.0,5,0,0,132,8.799999999999999,295,19.666666666666664,19.666666666666664,0.0,logic_claude_sonnet_4_6_4agent.json
logic,gemini_2_5_pro,4,800,800,100.0,0,0,0,115,14.374999999999998,206,25.75,25.75,0.0,logic_gemini_2_5_pro_4agent_parallel.json
logic,gemini_2_5_pro,4,25,25,100.0,25,0,0,0,0.0,0,0.0,0.0,0.0,logic_gemini_2_5_pro_4agent_subprocess.json
logic,gpt_4o,1,1500,30,2.0,42,12,7,3,0.2,314,20.933333333333334,20.133333333333333,0.8000000000000007,logic_gpt_4o_1agent.json
logic,gpt_4o,2,1500,66,4.3999999999999995,86,20,2,0,0.0,567,37.8,36.46666666666666,1.3333333333333357,logic_gpt_4o_2agent.json
logic,gpt_4o,3,1500,49,3.266666666666666,52,3,0,0,0.0,372,24.8,24.6,0.1999999999999993,logic_gpt_4o_3agent.json
logic,gpt_4o,4,450,21,4.666666666666667,24,3,0,0,0.0,176,39.111111111111114,38.44444444444444,0.6666666666666714,logic_gpt_4o_4agent.json
long_context,claude_sonnet_4_6,1,902,902,100.0,2,0,0,878,97.33924611973393,30,3.325942350332594,3.325942350332594,0.0,long_context_claude_sonnet_4_6_1agent.json
long_context,claude_sonnet_4_6,2,902,902,100.0,0,0,0,805,89.24611973392462,178,19.733924611973393,19.733924611973393,0.0,long_context_claude_sonnet_4_6_2agent.json
long_context,claude_sonnet_4_6,3,902,902,100.0,1,0,0,513,56.87361419068736,67,7.427937915742794,7.427937915742794,0.0,long_context_claude_sonnet_4_6_3agent.json
long_context,claude_sonnet_4_6,4,902,902,100.0,4,0,0,451,50.0,14,1.5521064301552108,1.5521064301552108,0.0,long_context_claude_sonnet_4_6_4agent.json
long_context,gpt_4o,1,902,1,0.11086474501108648,5,4,0,0,0.0,7,0.7760532150776054,0.3325942350332594,0.443458980044346,long_context_gpt_4o_1agent_parallel.json
long_context,gpt_4o,2,902,18,1.9955654101995564,18,0,0,0,0.0,26,2.882483370288248,2.882483370288248,0.0,long_context_gpt_4o_2agent_parallel.json
long_context,gpt_4o,3,902,35,3.8802660753880267,37,2,0,0,0.0,2,0.22172949002217296,0.0,0.22172949002217296,long_context_gpt_4o_3agent_parallel.json
long_context,gpt_4o,4,902,50,5.543237250554324,53,3,0,0,0.0,9,0.9977827050997782,0.6651884700665188,0.33259423503325936,long_context_gpt_4o_4agent_parallel.json
medical,claude_sonnet_4_6,1,150,150,100.0,0,0,0,148,98.66666666666667,25,16.666666666666664,16.666666666666664,0.0,medical_claude_sonnet_4_6_1agent.json
medical,claude_sonnet_4_6,2,5000,5000,100.0,23,0,0,3802,76.03999999999999,951,19.02,19.02,0.0,medical_claude_sonnet_4_6_2agent.json
medical,claude_sonnet_4_6,3,5000,5000,100.0,21,0,0,2591,51.82,1146,22.919999999999998,22.919999999999998,0.0,medical_claude_sonnet_4_6_3agent.json
medical,claude_sonnet_4_6,4,5000,5000,100.0,15,0,0,1121,22.42,1251,25.019999999999996,25.019999999999996,0.0,medical_claude_sonnet_4_6_4agent.json
medical,gemini-2_5-pro,1,3950,20,0.5063291139240507,25,5,6,2,0.05063291139240507,1184,29.974683544303797,29.848101265822784,0.12658227848101333,medical_gemini-2_5-pro_1agent.json
medical,gemini_2_5_pro,1,200,94,47.0,94,0,0,0,0.0,23,11.5,11.5,0.0,medical_gemini_2_5_pro_1agent.json
medical,gemini_2_5_pro,1,3750,18,0.48,23,5,5,2,0.05333333333333334,1118,29.81333333333333,29.68,0.1333333333333293,medical_gemini_2_5_pro_1agent_backup_75percent.json
medical,gemini_2_5_pro,1,3950,20,0.5063291139240507,25,5,6,2,0.05063291139240507,1184,29.974683544303797,29.848101265822784,0.12658227848101333,medical_gemini_2_5_pro_1agent_backup_79percent.json
medical,gemini_2_5_pro,1,550,550,100.0,0,0,0,296,53.81818181818182,149,27.090909090909093,27.090909090909093,0.0,medical_gemini_2_5_pro_1agent_parallel.json
medical,gemini_2_5_pro,1,45,45,100.0,32,0,0,9,20.0,3,6.666666666666667,6.666666666666667,0.0,medical_gemini_2_5_pro_1agent_subprocess.json
medical,gpt_4o,1,5000,7,0.13999999999999999,97,90,110,1,0.02,1425,28.499999999999996,26.700000000000003,1.7999999999999936,medical_gpt_4o_1agent.json
