domain,model,agents,n,schema,empty_gt,empty_pred,empty_pred_BUG_correct,refusal_BUG_correct,pred_truncated_200,pred_truncated_pct,short_pred_correct_rate,reported_correct,reported_accuracy,corrected_acc_minus_empty,inflation_pp,file
code,claude_sonnet_4_6,1,1000,correct_answer,0,0,0,0,904,90.4,0.0,13,1.3,1.3,0.0,code_claude_sonnet_4_6_1agent.json
code,claude_sonnet_4_6,2,1000,correct_answer,2,2,0,0,998,99.8,0.0,8,0.8,0.8,0.0,code_claude_sonnet_4_6_2agent.json
code,claude_sonnet_4_6,3,1000,correct_answer,1,1,0,0,999,99.9,0.0,7,0.7000000000000001,0.7000000000000001,0.0,code_claude_sonnet_4_6_3agent.json
code,claude_sonnet_4_6,4,1000,correct_answer,1,1,0,0,999,99.9,0.0,10,1.0,1.0,0.0,code_claude_sonnet_4_6_4agent.json
code,gemini_2_5_pro,3,750,correct_answer,0,0,0,0,737,98.26666666666667,0.0,9,1.2,1.2,0.0,code_gemini_2_5_pro_3agent_parallel.json
code,gpt_4o,1,1000,ground_truth,0,90,90,0,202,20.200000000000003,0.0,94,9.4,0.4,9.0,code_gpt_4o_1agent.json
code,gpt_4o,1,10,ground_truth,0,0,0,0,4,40.0,0.0,1,10.0,10.0,0.0,code_gpt_4o_1agent_parallel.json
code,gpt_4o,2,1000,ground_truth,30,62,32,0,187,18.7,38.46153846153847,43,4.3,1.0999999999999999,3.2,code_gpt_4o_2agent.json
code,gpt_4o,3,1000,ground_truth,0,105,105,0,367,36.7,26.31578947368421,111,11.1,0.6,10.5,code_gpt_4o_3agent.json
code,gpt_4o,4,1000,ground_truth,0,280,280,0,414,41.4,60.0,284,28.4,0.4,28.0,code_gpt_4o_4agent.json
legal,claude_sonnet_4_6,1,3000,correct_answer,2,2,0,433,2727,90.9,0.0,2635,87.83333333333333,87.83333333333333,0.0,legal_claude_sonnet_4_6_1agent.json
legal,claude_sonnet_4_6,2,3000,correct_answer,14,14,0,336,1134,37.8,72.0968629609246,2331,77.7,77.7,0.0,legal_claude_sonnet_4_6_2agent.json
legal,claude_sonnet_4_6,3,3000,correct_answer,14,14,0,403,477,15.9,71.34903640256958,2173,72.43333333333334,72.43333333333334,0.0,legal_claude_sonnet_4_6_3agent.json
