domain,model,agent_count,question_id,is_correct
medical,gpt_4o,1,medqa_3107,True
medical,gpt_4o,1,medqa_4516,False
medical,gpt_4o,1,medqa_181,False
medical,gpt_4o,1,medqa_2137,False
medical,gpt_4o,1,medqa_2425,False
medical,gpt_4o,1,medqa_2395,False
medical,gpt_4o,1,medqa_578,False
medical,gpt_4o,1,medqa_4777,False
medical,gpt_4o,1,medqa_966,True
medical,gpt_4o,1,medqa_2557,False
medical,gpt_4o,1,medqa_997,False
medical,gpt_4o,1,medqa_1053,True
medical,gpt_4o,1,medqa_225,False
medical,gpt_4o,1,medqa_3263,False
medical,gpt_4o,1,medqa_4896,False
medical,gpt_4o,1,medqa_468,False
medical,gpt_4o,1,medqa_2737,True
medical,gpt_4o,1,medqa_2574,False
medical,gpt_4o,1,medqa_3910,False
medical,gpt_4o,1,medqa_1459,False
medical,gpt_4o,1,medqa_248,False
medical,gpt_4o,1,medqa_2942,False
medical,gpt_4o,1,medqa_641,True
medical,gpt_4o,1,medqa_4330,False
medical,gpt_4o,1,medqa_3349,False
medical,gpt_4o,1,medqa_3272,False
medical,gpt_4o,1,medqa_260,False
medical,gpt_4o,1,medqa_3649,False
medical,gpt_4o,1,medqa_3092,False
medical,gpt_4o,1,medqa_3040,False
medical,gpt_4o,1,medqa_3641,True
medical,gpt_4o,1,medqa_2823,False
medical,gpt_4o,1,medqa_620,False
medical,gpt_4o,1,medqa_671,True
medical,gpt_4o,1,medqa_1559,False
medical,gpt_4o,1,medqa_2506,False
medical,gpt_4o,1,medqa_2832,False
medical,gpt_4o,1,medqa_752,False
medical,gpt_4o,1,medqa_888,False
medical,gpt_4o,1,medqa_470,False
medical,gpt_4o,1,medqa_4164,False
medical,gpt_4o,1,medqa_514,False
medical,gpt_4o,1,medqa_4667,True
medical,gpt_4o,1,medqa_3212,True
medical,gpt_4o,1,medqa_204,False
medical,gpt_4o,1,medqa_1855,False
medical,gpt_4o,1,medqa_3458,False
medical,gpt_4o,1,medqa_344,True
medical,gpt_4o,1,medqa_2085,False
medical,gpt_4o,1,medqa_2231,False
medical,gpt_4o,1,medqa_4497,True
medical,gpt_4o,1,medqa_954,False
medical,gpt_4o,1,medqa_2485,False
medical,gpt_4o,1,medqa_3892,False
medical,gpt_4o,1,medqa_1646,False
medical,gpt_4o,1,medqa_272,True
medical,gpt_4o,1,medqa_1608,False
medical,gpt_4o,1,medqa_1225,True
medical,gpt_4o,1,medqa_2762,False
medical,gpt_4o,1,medqa_2447,False
medical,gpt_4o,1,medqa_4096,True
medical,gpt_4o,1,medqa_1774,False
medical,gpt_4o,1,medqa_3787,True
medical,gpt_4o,1,medqa_2050,False
medical,gpt_4o,1,medqa_570,False
medical,gpt_4o,1,medqa_440,False
medical,gpt_4o,1,medqa_2161,True
medical,gpt_4o,1,medqa_6,False
medical,gpt_4o,1,medqa_1746,False
medical,gpt_4o,1,medqa_3223,False
medical,gpt_4o,1,medqa_1235,True
medical,gpt_4o,1,medqa_4842,False
medical,gpt_4o,1,medqa_4182,True
medical,gpt_4o,1,medqa_1897,False
medical,gpt_4o,1,medqa_3987,False
medical,gpt_4o,1,medqa_2947,False
medical,gpt_4o,1,medqa_167,True
medical,gpt_4o,1,medqa_4228,False
medical,gpt_4o,1,medqa_1920,False
medical,gpt_4o,1,medqa_430,True
medical,gpt_4o,1,medqa_3496,False
medical,gpt_4o,1,medqa_4358,False
medical,gpt_4o,1,medqa_2849,False
medical,gpt_4o,1,medqa_2887,False
medical,gpt_4o,1,medqa_2470,False
medical,gpt_4o,1,medqa_2827,True
