domain,judge,axis,mean,std,min,max,p50,n
medical,gpt,D,0.2,0.0,0.2,0.2,0.2,50
medical,gpt,V,0.702,0.014142135623730963,0.7,0.8,0.7,50
medical,gpt,K,0.796,0.09680613912055668,0.5,0.9,0.8,50
medical,gpt,S,0.112,0.032826072265931594,0.1,0.2,0.1,50
medical,gemini,D,0.114,0.08573809193213519,0.0,0.3,0.1,50
medical,gemini,V,0.72,0.05714285714285716,0.7,1.0,0.7,50
medical,gemini,K,0.878,0.0648074069840786,0.8,1.0,0.9,50
medical,gemini,S,0.1,0.10690449676496976,0.0,0.5,0.1,50
legal,gpt,D,0.2,0.0,0.2,0.2,0.2,50
legal,gpt,V,0.704,0.01979486637221576,0.7,0.8,0.7,50
legal,gpt,K,0.804,0.03475864303027554,0.7,1.0,0.8,50
legal,gpt,S,0.21200000000000002,0.04797958749641905,0.2,0.4,0.2,50
legal,gemini,D,0.09000000000000001,0.05439837932759935,0.0,0.2,0.1,50
legal,gemini,V,0.716,0.04218520874352403,0.7,0.9,0.7,50
legal,gemini,K,0.81,0.054398379327599354,0.7,1.0,0.8,50
legal,gemini,S,0.112,0.1002853072844814,0.0,0.5,0.1,50
code,gpt,D,0.712,0.1685956399077935,0.2,0.9,0.8,50
code,gpt,V,1.0,0.0,1.0,1.0,1.0,50
code,gpt,K,0.164,0.22293039089292754,0.0,0.7,0.0,50
code,gpt,S,0.264,0.1625812198909348,0.0,0.5,0.2,50
code,gemini,D,0.306,0.24278150082503638,0.0,1.0,0.2,50
code,gemini,V,1.0,0.0,1.0,1.0,1.0,50
code,gemini,K,0.46799999999999997,0.15576015051930298,0.0,0.8,0.5,50
code,gemini,S,0.496,0.23815618267628236,0.0,1.0,0.5,50
logic,gpt,D,0.138,0.09233921492109892,0.0,0.2,0.2,50
logic,gpt,V,0.6779999999999999,0.04184519575964802,0.6,0.7,0.7,50
logic,gpt,K,0.284,0.19728773144722364,0.0,0.8,0.3,50
logic,gpt,S,0.268,0.19737046901909194,0.0,0.5,0.4,50
logic,gemini,D,0.732,0.3814258961917954,0.0,1.0,0.9,50
logic,gemini,V,0.756,0.06114552731152203,0.6,0.9,0.8,50
logic,gemini,K,0.186,0.27554028558378146,0.0,0.8,0.0,50
logic,gemini,S,0.034,0.0688387645894672,0.0,0.3,0.0,50
long_context,gpt,D,0.296,0.1894783386467343,0.2,0.7,0.2,50
long_context,gpt,V,0.7,0.0,0.7,0.7,0.7,50
long_context,gpt,K,0.27399999999999997,0.0852607046364387,0.0,0.4,0.3,50
long_context,gpt,S,0.186,0.101035455486211,0.1,0.4,0.2,50
long_context,gemini,D,0.314,0.09899494936611665,0.1,0.6,0.3,50
long_context,gemini,V,0.812,0.07730142433410678,0.7,0.9,0.8,50
long_context,gemini,K,0.002,0.01414213562373095,0.0,0.1,0.0,50
long_context,gemini,S,0.162,0.1627443218232645,0.0,0.5,0.1,50
