domain,model,item_id,K,K_gpt,K_gem,K_disagree,ic_1,ic_2,ic_3,ic_4,benefit_2_1,benefit_4_1
medical,gpt_4o,medqa_2712,0.8500000000000001,0.8,0.9,0.09999999999999998,False,False,False,True,0,1.0
medical,gpt_4o,medqa_2007,0.8,0.8,0.8,0.0,True,False,False,True,-1,0.0
medical,gpt_4o,medqa_407,0.8,0.8,0.8,0.0,False,False,False,False,0,0.0
medical,gpt_4o,medqa_2248,0.8,0.8,0.8,0.0,False,False,False,False,0,0.0
medical,gpt_4o,medqa_4268,0.8500000000000001,0.9,0.8,0.09999999999999998,False,False,False,False,0,0.0
medical,gpt_4o,medqa_1785,0.9,0.8,1.0,0.19999999999999996,False,False,False,False,0,0.0
medical,gpt_4o,medqa_1184,0.8500000000000001,0.8,0.9,0.09999999999999998,True,False,False,False,-1,-1.0
medical,gpt_4o,medqa_4938,0.9,0.8,1.0,0.19999999999999996,False,True,True,True,1,1.0
medical,gpt_4o,medqa_1710,0.8500000000000001,0.8,0.9,0.09999999999999998,False,True,False,False,1,0.0
medical,gpt_4o,medqa_4712,0.75,0.6,0.9,0.30000000000000004,False,True,True,False,1,0.0
medical,gpt_4o,medqa_3731,0.7,0.6,0.8,0.20000000000000007,False,False,False,False,0,0.0
medical,gpt_4o,medqa_2654,0.95,0.9,1.0,0.09999999999999998,False,False,False,False,0,0.0
medical,gpt_4o,medqa_17,0.9,0.8,1.0,0.19999999999999996,True,False,True,False,-1,-1.0
medical,gpt_4o,medqa_3990,0.8500000000000001,0.8,0.9,0.09999999999999998,True,True,True,False,0,-1.0
medical,gpt_4o,medqa_3355,0.8,0.8,0.8,0.0,False,False,False,False,0,0.0
medical,gpt_4o,medqa_911,0.9,0.9,0.9,0.0,False,False,False,False,0,0.0
medical,gpt_4o,medqa_2471,0.8,0.8,0.8,0.0,True,False,False,False,-1,-1.0
medical,gpt_4o,medqa_1047,0.8500000000000001,0.8,0.9,0.09999999999999998,False,False,True,False,0,0.0
medical,gpt_4o,medqa_4477,0.8500000000000001,0.8,0.9,0.09999999999999998,True,True,False,False,0,-1.0
medical,gpt_4o,medqa_3535,0.8500000000000001,0.8,0.9,0.09999999999999998,True,True,True,False,0,-1.0
medical,gpt_4o,medqa_2834,0.7,0.6,0.8,0.20000000000000007,False,False,False,True,0,1.0
medical,gpt_4o,medqa_1422,0.75,0.6,0.9,0.30000000000000004,False,False,False,False,0,0.0
medical,gpt_4o,medqa_3288,0.9,0.8,1.0,0.19999999999999996,False,False,False,False,0,0.0
medical,gpt_4o,medqa_3739,0.8500000000000001,0.8,0.9,0.09999999999999998,True,True,False,False,0,-1.0
medical,gpt_4o,medqa_507,0.7,0.6,0.8,0.20000000000000007,False,True,False,False,1,0.0
medical,gpt_4o,medqa_3454,0.8500000000000001,0.8,0.9,0.09999999999999998,False,True,True,True,1,1.0
medical,gpt_4o,medqa_124,0.9,0.9,0.9,0.0,False,False,False,False,0,0.0
medical,gpt_4o,medqa_201,0.8500000000000001,0.9,0.8,0.09999999999999998,True,False,False,False,-1,-1.0
medical,gpt_4o,medqa_750,0.9,0.9,0.9,0.0,True,False,True,True,-1,0.0
medical,gpt_4o,medqa_3449,0.9,0.9,0.9,0.0,True,True,False,False,0,-1.0
medical,gpt_4o,medqa_2088,0.8,0.8,0.8,0.0,False,False,False,False,0,0.0
medical,gpt_4o,medqa_4802,0.8,0.8,0.8,0.0,False,False,False,False,0,0.0
medical,gpt_4o,medqa_541,0.65,0.5,0.8,0.30000000000000004,False,False,False,False,0,0.0
medical,gpt_4o,medqa_4285,0.9,0.9,0.9,0.0,False,False,False,False,0,0.0
medical,gpt_4o,medqa_2042,0.8500000000000001,0.8,0.9,0.09999999999999998,False,False,False,False,0,0.0
medical,gpt_4o,medqa_1894,0.8500000000000001,0.8,0.9,0.09999999999999998,False,False,False,False,0,0.0
medical,gpt_4o,medqa_149,0.8500000000000001,0.8,0.9,0.09999999999999998,False,False,False,True,0,1.0
medical,gpt_4o,medqa_94,0.95,0.9,1.0,0.09999999999999998,False,False,False,False,0,0.0
medical,gpt_4o,medqa_4788,0.8500000000000001,0.9,0.8,0.09999999999999998,True,False,False,False,-1,-1.0
medical,gpt_4o,medqa_4920,0.8500000000000001,0.8,0.9,0.09999999999999998,False,False,True,False,0,0.0
medical,gpt_4o,medqa_1465,0.9,0.9,0.9,0.0,False,False,False,False,0,0.0
medical,gpt_4o,medqa_1608,0.9,0.9,0.9,0.0,False,False,False,True,0,1.0
medical,claude_sonnet_4_6,medqa_1608,0.9,0.9,0.9,0.0,False,True,True,False,1,0.0
medical,gpt_4o,medqa_4748,0.7,0.6,0.8,0.20000000000000007,True,False,True,False,-1,-1.0
medical,gpt_4o,medqa_3339,0.9,0.9,0.9,0.0,False,False,False,False,0,0.0
medical,gpt_4o,medqa_2521,0.8500000000000001,0.8,0.9,0.09999999999999998,False,False,False,False,0,0.0
medical,gpt_4o,medqa_4225,0.8500000000000001,0.8,0.9,0.09999999999999998,True,True,True,True,0,0.0
medical,gpt_4o,medqa_848,0.8,0.8,0.8,0.0,True,False,False,True,-1,0.0
medical,gpt_4o,medqa_1543,0.8500000000000001,0.8,0.9,0.09999999999999998,False,False,False,False,0,0.0
medical,gpt_4o,medqa_1045,0.8500000000000001,0.8,0.9,0.09999999999999998,False,False,False,False,0,0.0
medical,gpt_4o,medqa_1840,0.8,0.8,0.8,0.0,False,False,False,False,0,0.0
legal,gpt_4o,legalbench_privacy_policy_qa_2783,0.75,0.8,0.7,0.10000000000000009,True,True,False,False,0,-1.0
legal,claude_sonnet_4_6,legalbench_privacy_policy_qa_2783,0.75,0.8,0.7,0.10000000000000009,True,True,True,True,0,0.0
legal,gpt_4o,legalbench_privacy_policy_qa_989,0.8,0.8,0.8,0.0,True,False,True,True,-1,0.0
legal,claude_sonnet_4_6,legalbench_privacy_policy_qa_989,0.8,0.8,0.8,0.0,True,True,True,True,0,0.0
legal,gpt_4o,legalbench_privacy_policy_qa_1603,0.8,0.8,0.8,0.0,False,False,True,False,0,0.0
legal,claude_sonnet_4_6,legalbench_privacy_policy_qa_1603,0.8,0.8,0.8,0.0,True,True,True,False,0,-1.0
legal,gpt_4o,legalbench_privacy_policy_qa_2174,0.8500000000000001,0.9,0.8,0.09999999999999998,True,True,True,False,0,-1.0
legal,claude_sonnet_4_6,legalbench_privacy_policy_qa_2174,0.8500000000000001,0.9,0.8,0.09999999999999998,True,True,True,True,0,0.0
legal,gpt_4o,legalbench_privacy_policy_qa_1402,0.8,0.8,0.8,0.0,True,True,False,False,0,-1.0
legal,claude_sonnet_4_6,legalbench_privacy_policy_qa_1402,0.8,0.8,0.8,0.0,True,True,True,False,0,-1.0
legal,gpt_4o,legalbench_privacy_policy_qa_1149,0.8500000000000001,0.8,0.9,0.09999999999999998,False,False,False,False,0,0.0
legal,claude_sonnet_4_6,legalbench_privacy_policy_qa_1149,0.8500000000000001,0.8,0.9,0.09999999999999998,True,True,True,True,0,0.0
